planet_name,orbital_period,planet_radius,transit_depth,transit_duration,eq_temperature,insolation_flux,stellar_temp,stellar_radius,stellar_gravity,disposition,source
Kepler-229 b,6.252962249,2.65,1036.9,2.5819,823.0,108.3,5031.0,0.848,4.485,2.0,Kepler
Kepler-665 b,16.01308419,3.1,1121.9,3.2554,593.0,29.31,5015.0,0.826,4.499,2.0,Kepler
Kepler-230 b,32.62876672,3.36,1804.8,4.7971,506.0,15.55,5586.0,0.798,4.56,2.0,Kepler
Kepler-230 c,91.7732862,2.12,652.0,6.473,359.0,3.92,5586.0,0.798,4.56,2.0,Kepler
Kepler-1976 b,4.959319244,12.21,9802.0,2.22739,1103.0,349.4,5712.0,1.082,4.359,2.0,Kepler
,2.701287801,6.54,860.4,3.3827,1222.0,527.81,5550.0,0.91,4.468,0.0,Kepler
Kepler-666 b,4.49876511,2.1,460.0,3.7362,1133.0,389.62,6075.0,0.969,4.486,2.0,Kepler
,19.651209505,12.42,11766.0,5.2514,730.0,67.03,6074.0,1.063,4.391,0.0,Kepler
Kepler-105 b,5.412203927,2.94,601.6,2.9472,1093.0,337.68,5779.0,1.087,4.339,2.0,Kepler
Kepler-667 b,41.43958662,5.5,2793.1,10.5989,516.0,16.72,5468.0,1.046,4.367,2.0,Kepler
Kepler-668 b,8.35389523,2.52,1041.6,2.2514,790.0,91.9,5592.0,0.787,4.582,2.0,Kepler
Kepler-669 b,4.125543472,4.43,1487.3,3.1744,1243.0,565.35,6174.0,1.103,4.417,2.0,Kepler
Kepler-670 b,2.816504904,12.21,16814.0,2.50587,1219.0,521.13,5532.0,0.955,4.452,2.0,Kepler
,33.93373447,7.34,8503.7,14.561,430.0,8.11,5040.0,0.705,4.628,0.0,Kepler
Kepler-680 b,3.689920099,1.89,426.7,2.6557,1147.0,408.99,5880.0,0.917,4.518,2.0,Kepler
Kepler-232 b,4.431238488,3.25,1010.9,3.15,1104.0,351.23,5714.0,1.015,4.428,2.0,Kepler
Kepler-232 c,11.37936986,3.95,1023.5,2.6255,806.0,99.68,5714.0,1.015,4.428,2.0,Kepler
Kepler-681 b,26.39432897,3.07,1510.9,3.573,489.0,13.49,5129.0,0.763,4.595,2.0,Kepler
Kepler-106 c,13.57078281,2.64,511.7,3.3539,785.0,89.61,5854.0,1.012,4.406,2.0,Kepler
Kepler-105 c,7.12594387,1.79,192.4,3.0014,997.0,233.31,5779.0,1.087,4.339,2.0,Kepler
,7.442652004,15.03,24446.0,2.3078,967.0,206.78,6108.0,0.956,4.469,0.0,Kepler
Kepler-52 c,16.38489988,2.0,1127.1,3.0249,433.0,8.35,4126.0,0.615,4.661,2.0,Kepler
Kepler-52 b,7.8774163,2.16,1306.1,2.0805,553.0,22.18,4126.0,0.615,4.661,2.0,Kepler
Kepler-52 d,36.4454001,1.99,1122.3,4.007,332.0,2.88,4126.0,0.615,4.661,2.0,Kepler
Kepler-673 b,3.728732147,6.02,5226.5,2.683,1023.0,258.34,5497.0,0.809,4.577,2.0,Kepler
,40.4195037,7.51,6256.0,3.362,467.0,11.29,5446.0,0.781,4.507,1.0,Kepler
Kepler-674 b,2.243380573,1.99,821.7,1.1196,822.0,107.6,4149.0,0.564,4.698,2.0,Kepler
,10.405998015,11.23,14489.0,6.5036,833.0,113.94,5746.0,0.924,4.393,0.0,Kepler
Kepler-675 b,2.337437946,2.34,971.2,1.9982,1070.0,311.16,5005.0,0.765,4.595,2.0,Kepler
,7.2406612,19.45,556.4,0.558,734.0,68.63,5005.0,0.765,4.595,1.0,Kepler
,3.43591631,0.55,23.2,3.133,1272.0,617.61,5779.0,1.087,4.339,1.0,Kepler
Kepler-676 b,11.59822233,2.65,2804.5,2.5237,396.0,5.82,3688.0,0.473,4.79,2.0,Kepler
Kepler-677 b,6.575315881,5.31,2793.3,4.3084,1015.0,251.38,5992.0,0.989,4.415,2.0,Kepler
Kepler-678 b,7.275040844,4.86,3001.0,7.5377,833.0,113.64,5485.0,0.867,4.556,2.0,Kepler
Kepler-231 c,19.27153892,1.93,1219.8,2.7594,393.0,5.66,4077.0,0.56,4.702,2.0,Kepler
Kepler-231 b,10.06524317,1.91,1053.3,1.369,488.0,13.43,4077.0,0.56,4.702,2.0,Kepler
Kepler-679 b,12.3935651,2.66,916.6,3.8896,677.0,49.68,5557.0,0.75,4.603,2.0,Kepler
Kepler-106 e,43.84439721,2.87,615.2,6.802,531.0,18.77,5854.0,1.012,4.406,2.0,Kepler
,3.341913228,21.55,725.3,3.813,1032.0,268.67,5295.0,0.811,4.551,0.0,Kepler
,1.626630225,32.43,1620.6,2.1145,1547.0,1355.88,5735.0,0.973,4.41,0.0,Kepler
Kepler-234 b,2.711504086,3.12,837.5,3.0099,1420.0,960.79,6214.0,1.076,4.442,2.0,Kepler
Kepler-234 c,7.21203748,3.32,950.4,4.0491,1025.0,260.58,6214.0,1.076,4.442,2.0,Kepler
,14.1798187,1.88,459.9,2.505,711.0,60.35,5799.0,0.878,4.539,0.0,Kepler
Kepler-233 b,8.47237911,2.59,1123.5,2.7245,751.0,75.44,5354.0,0.788,4.587,2.0,Kepler
Kepler-233 c,60.4189369,2.36,931.3,5.039,390.0,5.49,5354.0,0.788,4.587,2.0,Kepler
Kepler-682 b,12.611904345,7.4,6105.6,5.1497,753.0,76.15,5795.0,0.919,4.508,2.0,Kepler
,1.433769925,46.58,1976.3,1.8868,1920.0,3209.29,6017.0,1.339,4.22,0.0,Kepler
,10.31872301,28.59,871.7,3.836,876.0,139.26,5927.0,1.06,4.409,0.0,Kepler
Kepler-683 b,2.539183147,2.06,382.1,2.4282,1332.0,743.09,5519.0,1.062,4.35,2.0,Kepler
Kepler-684 b,6.770300385,2.77,1304.0,2.0844,812.0,102.87,5653.0,0.679,4.656,2.0,Kepler
,0.444291966,27.51,10967.0,2.0792,1836.0,2706.26,5255.0,0.636,4.678,0.0,Kepler
,10.181584004,7.73,5741.1,3.5089,812.0,102.91,5988.0,0.836,4.541,1.0,Kepler
Kepler-235 d,20.06036336,1.96,1494.7,3.3203,361.0,4.0,3950.0,0.493,4.754,2.0,Kepler
Kepler-235 e,46.1842039,1.83,1394.7,4.758,273.0,1.32,3950.0,0.493,4.754,2.0,Kepler
Kepler-106 d,23.9800854,1.31,104.0,5.351,649.0,41.94,5854.0,1.012,4.406,2.0,Kepler
Kepler-235 c,7.82502168,1.2,520.8,2.186,494.0,14.05,3950.0,0.493,4.754,2.0,Kepler
Kepler-688 b,3.895936525,7.34,8544.8,2.3111,1005.0,241.62,5557.0,0.774,4.592,2.0,Kepler
Kepler-689 b,22.36646466,2.32,986.8,5.228,536.0,19.45,5395.0,0.734,4.615,2.0,Kepler
Kepler-685 b,1.625522174,9.73,7969.0,2.38963,1579.0,1467.41,5539.0,1.106,4.322,2.0,Kepler
,19.620346923,13.6,21725.0,2.0038,643.0,40.39,5710.0,0.905,4.492,1.0,Kepler
,7.544039,17.47,322.6,6.222,838.0,116.46,5657.0,0.824,4.567,0.0,Kepler
Kepler-1727 b,9.02930689,2.57,1019.8,3.1449,757.0,77.75,5349.0,0.82,4.526,2.0,Kepler
,10.328035714,13.28,16918.0,7.7915,843.0,119.31,5627.0,1.024,4.359,0.0,Kepler
Kepler-30 d,143.2063047,8.9,10566.0,8.9302,308.0,2.14,5485.0,0.867,4.556,2.0,Kepler
Kepler-106 b,6.164876,0.79,55.8,3.262,1021.0,256.35,5854.0,1.012,4.406,2.0,Kepler
Kepler-30 c,60.32494216,12.19,20280.0,6.6188,411.0,6.77,5485.0,0.867,4.556,2.0,Kepler
Kepler-30 b,29.1598615,1.91,488.0,4.803,524.0,17.85,5485.0,0.867,4.556,2.0,Kepler
,1.540397253,25.69,816.1,2.1541,1470.0,1105.68,5663.0,0.915,4.53,0.0,Kepler
,2.99025443,1.7,589.2,5.414,918.0,168.45,4667.0,0.731,4.578,0.0,Kepler
Kepler-686 b,1.594745374,11.3,15044.0,1.9604,1539.0,1329.42,5934.0,0.893,4.491,2.0,Kepler
Kepler-1728 b,4.783002698,2.5,1008.7,2.335,886.0,145.48,5170.0,0.807,4.574,2.0,Kepler
Kepler-687 b,20.50588921,3.41,2105.5,4.0595,518.0,17.06,4905.0,0.761,4.544,2.0,Kepler
Kepler-235 b,3.340218842,2.03,1632.6,1.9104,656.0,43.73,3950.0,0.493,4.754,2.0,Kepler
,2.507089906,30.26,1339.2,2.0067,1326.0,730.47,5926.0,0.939,4.506,0.0,Kepler
Kepler-53 b,18.64932728,3.12,893.6,4.4056,701.0,57.13,5775.0,1.053,4.405,2.0,Kepler
Kepler-107 c,4.90144976,1.7,140.7,4.1654,1262.0,598.74,5847.0,1.402,4.191,2.0,Kepler
Kepler-53 d,9.75192101,2.76,418.0,4.793,870.0,135.66,5775.0,1.053,4.405,2.0,Kepler
Kepler-53 c,38.5576546,4.02,993.0,5.794,550.0,21.71,5775.0,1.053,4.405,2.0,Kepler
Kepler-428 b,3.525632539,11.58,22335.0,2.59959,975.0,213.12,5150.0,0.793,4.572,2.0,Kepler
,34.84398644,7.61,4523.6,2.9315,511.0,16.1,5509.0,0.871,4.482,1.0,Kepler
Kepler-690 b,7.748094239,5.52,2472.1,3.5957,964.0,204.39,5973.0,1.085,4.439,2.0,Kepler
Kepler-236 c,23.96793669,1.8,1182.3,3.827,329.0,2.77,3747.0,0.524,4.728,2.0,Kepler
Kepler-236 b,8.29561738,1.82,824.3,1.3421,469.0,11.39,3747.0,0.524,4.728,2.0,Kepler
Kepler-691 b,8.11437482,2.1,1558.0,2.2736,460.0,10.55,3692.0,0.517,4.753,2.0,Kepler
,38.036729482,27.5,82872.0,4.34617,500.0,14.81,5575.0,0.932,4.521,0.0,Kepler
,4.64090031,30.09,2450.6,35.512,1155.0,421.08,6463.0,0.826,4.5,1.0,Kepler
,3.747838198,13.65,616.0,5.0642,1031.0,266.76,5514.0,0.826,4.569,0.0,Kepler
Kepler-107 e,14.74914825,2.89,430.2,6.0995,874.0,137.91,5847.0,1.402,4.191,2.0,Kepler
Kepler-692 b,21.81295996,3.38,1175.4,4.3791,639.0,39.33,5601.0,0.999,4.41,2.0,Kepler
,7.91936937,10.34,15148.0,3.3148,814.0,104.0,5690.0,0.776,4.588,0.0,Kepler
,1.028436523,72.77,8098.0,1.8606,1947.0,3400.48,6228.0,0.99,4.428,1.0,Kepler
Kepler-693 b,15.37562369,11.01,15337.0,3.3169,600.0,30.54,4986.0,0.833,4.496,2.0,Kepler
Kepler-237 c,8.10363271,2.11,887.9,3.161,687.0,52.82,4861.0,0.732,4.574,2.0,Kepler
Kepler-237 b,4.71510843,1.46,417.5,2.506,823.0,108.84,4861.0,0.732,4.574,2.0,Kepler
Kepler-694 b,6.365839713,2.44,780.7,2.9721,914.0,165.33,5776.0,0.849,4.554,2.0,Kepler
,5.97581754,3.86,962.4,3.065,1047.0,284.25,6108.0,0.997,4.471,0.0,Kepler
,2.446737317,26.25,1177.9,4.7211,1261.0,597.19,5764.0,0.863,4.548,0.0,Kepler
Kepler-695 b,3.04033046,8.99,10859.0,1.8411,1021.0,257.29,5035.0,0.791,4.519,2.0,Kepler
Kepler-27 b,15.33528675,5.0,3081.4,3.897,610.0,32.67,5251.0,0.817,4.581,2.0,Kepler
Kepler-107 d,7.95825328,1.06,50.0,4.377,1074.0,314.15,5847.0,1.402,4.191,2.0,Kepler
Kepler-27 c,31.33046135,6.5,5073.8,5.176,481.0,12.61,5251.0,0.817,4.581,2.0,Kepler
,3.9043425,12.28,16228.0,3.831,1104.0,351.05,5810.0,0.898,4.526,0.0,Kepler
,9.286358079,17.61,44791.0,3.49949,796.0,95.03,5670.0,0.821,4.523,0.0,Kepler
,3.951405455,31.44,2453.9,2.1862,1133.0,388.71,6046.0,0.869,4.539,0.0,Kepler
Kepler-238 e,23.65369415,7.89,3341.8,8.2183,731.0,67.65,5739.0,1.384,4.191,2.0,Kepler
Kepler-238 d,13.23352214,3.06,504.6,6.7372,888.0,146.67,5739.0,1.384,4.191,2.0,Kepler
Kepler-238 c,6.15560285,2.32,285.0,4.9843,1146.0,406.94,5739.0,1.384,4.191,2.0,Kepler
Kepler-238 b,2.090811305,1.62,115.9,3.388,1642.0,1718.04,5739.0,1.384,4.191,2.0,Kepler
Kepler-107 b,3.180027898,1.53,120.3,3.5797,1458.0,1066.86,5847.0,1.402,4.191,2.0,Kepler
Kepler-238 f,50.4467417,2.67,370.3,7.159,568.0,24.64,5739.0,1.384,4.191,2.0,Kepler
Kepler-239 b,11.76307164,2.35,1037.3,2.9076,616.0,33.99,4959.0,0.756,4.603,2.0,Kepler
Kepler-239 c,56.2279271,2.37,862.7,3.57,366.0,4.22,4959.0,0.756,4.603,2.0,Kepler
,2.384052875,17.06,1268.1,3.0918,1010.0,244.87,4794.0,0.701,4.58,0.0,Kepler
Kepler-240 c,7.953547,2.25,875.4,2.6312,696.0,55.37,4768.0,0.779,4.536,2.0,Kepler
Kepler-240 b,4.14451656,1.48,391.8,2.3421,864.0,132.08,4768.0,0.779,4.536,2.0,Kepler
,4.859386384,38.33,6044.3,2.2757,1114.0,364.23,6072.0,0.988,4.47,0.0,Kepler
Kepler-702 b,10.526294577,8.24,9768.0,2.5211,713.0,61.16,5386.0,0.793,4.553,2.0,Kepler
Kepler-703 b,4.583520948,5.39,3812.1,2.7055,1038.0,274.98,5815.0,0.877,4.54,2.0,Kepler
Kepler-704 b,3.76181843,2.66,510.6,3.5176,1121.0,372.62,5653.0,0.949,4.472,2.0,Kepler
Kepler-242 b,8.20396958,3.01,1024.4,2.9667,742.0,71.5,5015.0,0.826,4.499,2.0,Kepler
Kepler-242 c,14.49645186,3.01,647.5,4.016,613.0,33.48,5015.0,0.826,4.499,2.0,Kepler
Kepler-27 d,6.54626149,2.19,655.9,2.75,810.0,101.78,5251.0,0.817,4.581,2.0,Kepler
Kepler-241 b,12.71809866,2.31,1149.4,3.0957,562.0,23.6,4702.0,0.686,4.592,2.0,Kepler
Kepler-241 c,36.06588163,2.64,1563.8,4.3246,397.0,5.88,4702.0,0.686,4.592,2.0,Kepler
Kepler-696 b,4.190425659,6.21,2877.4,2.8589,1234.0,547.9,6073.0,1.135,4.392,2.0,Kepler
Kepler-697 b,3.709870784,4.35,2020.3,3.0694,1151.0,415.1,5727.0,0.978,4.463,2.0,Kepler
Kepler-698 b,16.3297527,3.75,1187.5,6.271,727.0,66.08,5878.0,0.987,4.444,2.0,Kepler
Kepler-699 b,27.807566216,13.84,25391.0,4.21587,554.0,22.24,5862.0,0.785,4.584,2.0,Kepler
Kepler-700 b,80.8723469,7.59,3604.6,11.195,452.0,9.88,5510.0,1.238,4.222,2.0,Kepler
,3.166465862,26.82,4357.2,2.9381,954.0,196.31,4968.0,0.704,4.575,0.0,Kepler
Kepler-467 b,24.99324319,2.29,269.6,5.9409,712.0,60.88,5718.0,1.317,4.181,2.0,Kepler
Kepler-701 b,10.35533116,2.47,750.6,3.1775,777.0,86.22,5501.0,0.918,4.462,2.0,Kepler
Kepler-709 b,16.08518937,3.68,1442.4,3.984,613.0,33.43,5239.0,0.826,4.523,2.0,Kepler
,235.9986399,10.59,20715.0,8.2284,188.0,0.29,4245.0,0.657,4.627,1.0,Kepler
Kepler-245 b,7.49018305,2.56,1123.6,2.7297,753.0,76.06,5103.0,0.787,4.562,2.0,Kepler
Kepler-245 d,36.2761238,3.03,1572.6,4.7865,445.0,9.29,5103.0,0.787,4.562,2.0,Kepler
Kepler-245 c,17.46087931,2.32,812.4,2.2641,568.0,24.6,5103.0,0.787,4.562,2.0,Kepler
Kepler-705 b,56.0560754,1.94,1626.0,4.685,233.0,0.69,3593.0,0.491,4.757,2.0,Kepler
Kepler-706 b,41.408316686,11.38,22839.0,5.0264,453.0,9.93,5522.0,0.747,4.586,2.0,Kepler
,39.74893077,14.21,15179.0,7.3051,552.0,21.87,6122.0,0.964,4.487,1.0,Kepler
Kepler-243 b,5.715425977,2.47,908.1,2.5242,850.0,123.03,5237.0,0.826,4.572,2.0,Kepler
Kepler-108 b,49.18394185,8.2,1646.2,11.3364,669.0,47.4,5626.0,2.057,3.907,2.0,Kepler
Kepler-243 c,20.0261412,2.28,421.2,1.611,559.0,23.14,5237.0,0.826,4.572,2.0,Kepler
,13.61014819,19.02,5732.9,2.594,733.0,68.29,5697.0,0.903,4.46,1.0,Kepler
,10.44331991,2.66,1159.8,2.743,667.0,46.94,4947.0,0.802,4.516,0.0,Kepler
Kepler-707 b,2.237489571,1.41,315.8,1.8119,1160.0,427.17,5265.0,0.81,4.58,2.0,Kepler
,5.851520671,14.62,33004.0,3.11058,901.0,155.89,5532.0,0.806,4.53,0.0,Kepler
Kepler-708 b,3.167893418,2.62,781.2,2.1814,1221.0,526.23,5895.0,0.94,4.503,2.0,Kepler
Kepler-244 b,4.311780262,3.11,1154.0,2.7251,1038.0,274.84,5527.0,0.927,4.484,2.0,Kepler
Kepler-244 d,20.0504494,2.69,840.9,4.556,622.0,35.44,5527.0,0.927,4.484,2.0,Kepler
Kepler-244 c,9.76734503,2.67,569.1,1.6585,791.0,92.46,5527.0,0.927,4.484,2.0,Kepler
,119.0207044,8.98,7430.5,8.1405,366.0,4.25,5453.0,1.062,4.342,1.0,Kepler
Kepler-108 c,190.3200468,7.78,1141.7,15.284,426.0,7.8,5626.0,2.057,3.907,2.0,Kepler
,2.861159894,4.37,1014.3,1.8832,1355.0,797.1,6126.0,1.021,4.458,0.0,Kepler
Kepler-82 b,26.44439337,3.91,1843.5,3.9783,562.0,23.54,5427.0,0.929,4.463,2.0,Kepler
Kepler-82 c,51.53997972,5.51,3644.3,6.3994,450.0,9.67,5427.0,0.929,4.463,2.0,Kepler
Kepler-82 e,5.902245782,2.43,702.3,2.9003,926.0,173.74,5427.0,0.929,4.463,2.0,Kepler
Kepler-82 d,2.382951591,1.86,391.6,1.8876,1253.0,583.01,5427.0,0.929,4.463,2.0,Kepler
Kepler-712 b,21.02250608,3.07,1772.5,4.1072,521.0,17.48,5067.0,0.75,4.585,2.0,Kepler
Kepler-245 e,3.219814777,1.69,488.2,2.0642,998.0,234.93,5103.0,0.787,4.562,2.0,Kepler
Kepler-28 b,5.912273234,1.73,961.4,2.3254,585.0,27.72,4072.0,0.57,4.696,2.0,Kepler
Kepler-28 c,8.98581901,1.65,881.3,2.8606,509.0,15.9,4072.0,0.57,4.696,2.0,Kepler
,12.940668656,22.94,42450.0,2.4845,723.0,64.64,5875.0,0.809,4.572,1.0,Kepler
,20.5452375,2.41,218.5,2.517,742.0,71.57,5670.0,1.264,4.206,0.0,Kepler
Kepler-46 b,33.60123371,8.46,7425.9,4.4056,495.0,14.22,5149.0,0.93,4.447,2.0,Kepler
Kepler-46 d,6.76652928,1.97,450.7,2.9004,845.0,120.48,5149.0,0.93,4.447,2.0,Kepler
Kepler-710 b,4.347288783,2.36,451.6,2.1024,1174.0,449.79,5754.0,1.122,4.345,2.0,Kepler
Kepler-246 b,4.601811819,2.35,755.9,2.2607,896.0,152.91,4986.0,0.833,4.496,2.0,Kepler
Kepler-246 c,11.18719905,1.55,353.6,3.252,667.0,46.65,4986.0,0.833,4.496,2.0,Kepler
Kepler-1729 b,4.220965778,2.62,2260.0,3.0854,595.0,29.68,3837.0,0.517,4.747,2.0,Kepler
,6.998099523,588.66,20285.0,2.0488,853.0,125.22,5612.0,0.829,4.566,0.0,Kepler
Kepler-81 b,5.95489993,2.33,1410.7,2.3892,635.0,38.52,4261.0,0.633,4.641,2.0,Kepler
Kepler-81 c,12.03987488,2.18,1250.6,2.7363,502.0,15.06,4261.0,0.633,4.641,2.0,Kepler
Kepler-81 d,20.83762895,1.42,439.0,2.3734,418.0,7.24,4261.0,0.633,4.641,2.0,Kepler
,8.8111022,63.66,401.1,5.0683,1399.0,904.92,6200.0,2.404,3.8,0.0,Kepler
Kepler-711 b,23.58917143,3.16,1200.7,5.073,487.0,13.34,4919.0,0.721,4.566,2.0,Kepler
Kepler-109 b,6.481633073,2.54,298.5,3.784,1145.0,406.25,5945.0,1.302,4.213,2.0,Kepler
Kepler-716 b,10.37168928,3.2,1254.9,3.035,720.0,63.68,5121.0,0.888,4.457,2.0,Kepler
Kepler-716 c,3.96996298,1.78,299.2,1.1757,992.0,229.37,5121.0,0.888,4.457,2.0,Kepler
Kepler-717 b,4.40841331,2.66,549.4,5.012,1139.0,398.0,6007.0,0.961,4.457,2.0,Kepler
,7.9426176,4.68,1590.7,6.703,878.0,140.57,5811.0,0.926,4.521,0.0,Kepler
Kepler-712 c,226.8904775,4.53,3136.4,7.558,236.0,0.73,5067.0,0.75,4.585,2.0,Kepler
,1.956811408,21.58,24905.0,2.1958,1109.0,357.16,5209.0,0.603,4.657,0.0,Kepler
,2.688899233,12.04,37492.0,2.11275,929.0,175.76,4820.0,0.639,4.667,1.0,Kepler
Kepler-247 c,9.439459486,4.16,3036.1,2.8979,686.0,52.32,5097.0,0.779,4.597,2.0,Kepler
Kepler-95 b,11.523067458,3.13,507.3,3.8757,927.0,174.81,5644.0,1.411,4.162,2.0,Kepler
Kepler-247 d,20.47748843,2.92,1382.4,2.8364,530.0,18.65,5097.0,0.779,4.597,2.0,Kepler
Kepler-247 b,3.336123113,1.74,516.3,1.9616,970.0,209.79,5097.0,0.779,4.597,2.0,Kepler
Kepler-54 b,8.01078456,1.72,1333.6,2.312,453.0,9.9,3713.0,0.47,4.779,2.0,Kepler
Kepler-54 c,12.07134205,1.29,759.2,4.3224,395.0,5.74,3713.0,0.47,4.779,2.0,Kepler
Kepler-54 d,20.99587872,1.3,767.3,2.6333,328.0,2.74,3713.0,0.47,4.779,2.0,Kepler
Kepler-713 b,7.41113177,2.45,620.5,2.5242,905.0,158.11,5849.0,0.919,4.517,2.0,Kepler
,1.000747038,4.14,1823.5,0.9967,1620.0,1635.2,5472.0,0.79,4.499,0.0,Kepler
Kepler-75 b,8.884922995,10.51,16053.0,2.07004,770.0,83.21,5332.0,0.843,4.5,2.0,Kepler
Kepler-714 b,8.09888906,8.95,6911.1,4.20241,986.0,223.19,6214.0,1.076,4.442,2.0,Kepler
Kepler-715 b,10.00653012,3.52,936.1,5.344,876.0,139.21,6063.0,1.001,4.47,2.0,Kepler
Kepler-448 b,17.855221681,13.16,9065.2,7.41287,911.0,163.04,6823.0,1.367,4.308,2.0,Kepler
,12.732624065,4.87,6465.7,2.2083,432.0,8.22,3950.0,0.541,4.721,1.0,Kepler
,83.92494032,4.78,7958.7,6.7904,226.0,0.62,3960.0,0.509,4.746,1.0,Kepler
Kepler-719 b,5.007316661,6.96,6932.3,4.2362,998.0,234.28,5865.0,0.827,4.563,2.0,Kepler
Kepler-55 d,2.211116989,1.85,724.2,1.6485,931.0,177.19,4500.0,0.646,4.656,2.0,Kepler
Kepler-55 b,27.9541337,1.9,942.5,3.95,400.0,6.04,4500.0,0.646,4.656,2.0,Kepler
Kepler-110 b,12.69104387,2.57,252.1,3.7727,1008.0,244.3,5869.0,1.626,4.024,2.0,Kepler
,4.409409243,10.95,12861.0,3.8636,1101.0,347.06,5600.0,0.975,4.368,0.0,Kepler
Kepler-248 c,16.23947096,4.14,2590.7,4.0374,598.0,30.14,5191.0,0.837,4.564,2.0,Kepler
Kepler-248 b,6.308201629,2.96,1328.5,2.9785,819.0,106.44,5191.0,0.837,4.564,2.0,Kepler
Kepler-718 b,2.052349884,13.12,14281.0,2.0778,1497.0,1183.18,5855.0,1.08,4.393,2.0,Kepler
Kepler-83 b,9.7704486,2.23,1897.8,2.4517,460.0,10.59,3906.0,0.509,4.73,2.0,Kepler
Kepler-83 d,5.169804269,1.66,1037.4,2.153,569.0,24.75,3906.0,0.509,4.73,2.0,Kepler
Kepler-109 c,21.22261195,2.48,366.0,6.5093,771.0,83.56,5945.0,1.302,4.213,2.0,Kepler
Kepler-83 c,20.09017037,2.25,1432.1,4.154,362.0,4.05,3906.0,0.509,4.73,2.0,Kepler
Kepler-249 c,7.11373257,1.16,807.6,2.1764,429.0,8.01,3561.0,0.411,4.855,2.0,Kepler
