planet_name,transit_depth,transit_duration,eq_temperature,insolation_flux,planet_radius,stellar_temp,stellar_gravity,disposition
Kepler-245 d,1572.6,4.7865,445.0,9.29,3.03,5103.0,4.562,2.0
Kepler-245 c,812.4,2.2641,568.0,24.6,2.32,5103.0,4.562,2.0
Kepler-705 b,1626.0,4.685,233.0,0.69,1.94,3593.0,4.757,2.0
Kepler-706 b,22839.0,5.0264,453.0,9.93,11.38,5522.0,4.586,2.0
Kepler-243 b,908.1,2.5242,850.0,123.03,2.47,5237.0,4.572,2.0
Kepler-108 b,1646.2,11.3364,669.0,47.4,8.2,5626.0,3.907,2.0
Kepler-243 c,421.2,1.611,559.0,23.14,2.28,5237.0,4.572,2.0
Kepler-707 b,315.8,1.8119,1160.0,427.17,1.41,5265.0,4.58,2.0
Kepler-708 b,781.2,2.1814,1221.0,526.23,2.62,5895.0,4.503,2.0
Kepler-244 b,1154.0,2.7251,1038.0,274.84,3.11,5527.0,4.484,2.0
Kepler-244 d,840.9,4.556,622.0,35.44,2.69,5527.0,4.484,2.0
Kepler-244 c,569.1,1.6585,791.0,92.46,2.67,5527.0,4.484,2.0
Kepler-108 c,1141.7,15.284,426.0,7.8,7.78,5626.0,3.907,2.0
Kepler-82 b,1843.5,3.9783,562.0,23.54,3.91,5427.0,4.463,2.0
Kepler-82 c,3644.3,6.3994,450.0,9.67,5.51,5427.0,4.463,2.0
Kepler-82 e,702.3,2.9003,926.0,173.74,2.43,5427.0,4.463,2.0
Kepler-82 d,391.6,1.8876,1253.0,583.01,1.86,5427.0,4.463,2.0
Kepler-712 b,1772.5,4.1072,521.0,17.48,3.07,5067.0,4.585,2.0
Kepler-245 e,488.2,2.0642,998.0,234.93,1.69,5103.0,4.562,2.0
Kepler-28 b,961.4,2.3254,585.0,27.72,1.73,4072.0,4.696,2.0
Kepler-28 c,881.3,2.8606,509.0,15.9,1.65,4072.0,4.696,2.0
Kepler-46 b,7425.9,4.4056,495.0,14.22,8.46,5149.0,4.447,2.0
Kepler-46 d,450.7,2.9004,845.0,120.48,1.97,5149.0,4.447,2.0
Kepler-710 b,451.6,2.1024,1174.0,449.79,2.36,5754.0,4.345,2.0
Kepler-246 b,755.9,2.2607,896.0,152.91,2.35,4986.0,4.496,2.0
Kepler-246 c,353.6,3.252,667.0,46.65,1.55,4986.0,4.496,2.0
Kepler-1729 b,2260.0,3.0854,595.0,29.68,2.62,3837.0,4.747,2.0
Kepler-81 b,1410.7,2.3892,635.0,38.52,2.33,4261.0,4.641,2.0
Kepler-81 c,1250.6,2.7363,502.0,15.06,2.18,4261.0,4.641,2.0
Kepler-81 d,439.0,2.3734,418.0,7.24,1.42,4261.0,4.641,2.0
Kepler-711 b,1200.7,5.073,487.0,13.34,3.16,4919.0,4.566,2.0
Kepler-109 b,298.5,3.784,1145.0,406.25,2.54,5945.0,4.213,2.0
Kepler-716 b,1254.9,3.035,720.0,63.68,3.2,5121.0,4.457,2.0
Kepler-716 c,299.2,1.1757,992.0,229.37,1.78,5121.0,4.457,2.0
Kepler-717 b,549.4,5.012,1139.0,398.0,2.66,6007.0,4.457,2.0
Kepler-712 c,3136.4,7.558,236.0,0.73,4.53,5067.0,4.585,2.0
Kepler-247 c,3036.1,2.8979,686.0,52.32,4.16,5097.0,4.597,2.0
Kepler-95 b,507.3,3.8757,927.0,174.81,3.13,5644.0,4.162,2.0
Kepler-247 d,1382.4,2.8364,530.0,18.65,2.92,5097.0,4.597,2.0
Kepler-247 b,516.3,1.9616,970.0,209.79,1.74,5097.0,4.597,2.0
Kepler-54 b,1333.6,2.312,453.0,9.9,1.72,3713.0,4.779,2.0
Kepler-54 c,759.2,4.3224,395.0,5.74,1.29,3713.0,4.779,2.0
Kepler-54 d,767.3,2.6333,328.0,2.74,1.3,3713.0,4.779,2.0
Kepler-713 b,620.5,2.5242,905.0,158.11,2.45,5849.0,4.517,2.0
Kepler-75 b,16053.0,2.07004,770.0,83.21,10.51,5332.0,4.5,2.0
Kepler-714 b,6911.1,4.20241,986.0,223.19,8.95,6214.0,4.442,2.0
Kepler-715 b,936.1,5.344,876.0,139.21,3.52,6063.0,4.47,2.0
Kepler-448 b,9065.2,7.41287,911.0,163.04,13.16,6823.0,4.308,2.0
Kepler-719 b,6932.3,4.2362,998.0,234.28,6.96,5865.0,4.563,2.0
Kepler-55 d,724.2,1.6485,931.0,177.19,1.85,4500.0,4.656,2.0
Kepler-55 b,942.5,3.95,400.0,6.04,1.9,4500.0,4.656,2.0
Kepler-110 b,252.1,3.7727,1008.0,244.3,2.57,5869.0,4.024,2.0
Kepler-248 c,2590.7,4.0374,598.0,30.14,4.14,5191.0,4.564,2.0
Kepler-248 b,1328.5,2.9785,819.0,106.44,2.96,5191.0,4.564,2.0
Kepler-718 b,14281.0,2.0778,1497.0,1183.18,13.12,5855.0,4.393,2.0
Kepler-83 b,1897.8,2.4517,460.0,10.59,2.23,3906.0,4.73,2.0
Kepler-83 d,1037.4,2.153,569.0,24.75,1.66,3906.0,4.73,2.0
Kepler-109 c,366.0,6.5093,771.0,83.56,2.48,5945.0,4.213,2.0
Kepler-83 c,1432.1,4.154,362.0,4.05,2.25,3906.0,4.73,2.0
Kepler-249 c,807.6,2.1764,429.0,8.01,1.16,3561.0,4.855,2.0
Kepler-249 b,509.2,1.8177,554.0,22.19,0.91,3561.0,4.855,2.0
Kepler-249 d,756.1,2.4714,332.0,2.86,1.11,3561.0,4.855,2.0
Kepler-1730 b,1309.7,3.048,833.0,113.75,4.56,5942.0,4.327,2.0
Kepler-722 b,538.6,2.5833,1182.0,461.07,2.85,6077.0,4.471,2.0
Kepler-722 c,685.4,8.593,401.0,6.09,3.43,6077.0,4.471,2.0
Kepler-252 c,1675.6,2.9993,499.0,14.66,2.34,4201.0,4.682,2.0
Kepler-252 b,362.3,1.915,587.0,28.06,1.18,4201.0,4.682,2.0
Kepler-723 b,17859.0,3.23015,1016.0,251.48,10.55,5655.0,4.581,2.0
Kepler-55 c,895.5,5.083,349.0,3.49,1.85,4500.0,4.656,2.0
Kepler-55 e,575.8,2.2618,728.0,66.47,1.62,4500.0,4.656,2.0
Kepler-55 f,634.1,2.4283,559.0,23.11,1.75,4500.0,4.656,2.0
Kepler-250 c,867.0,2.5882,782.0,88.23,2.47,5029.0,4.494,2.0
Kepler-250 d,763.3,2.0873,579.0,26.49,2.43,5029.0,4.494,2.0
Kepler-250 b,175.2,2.535,938.0,182.76,1.08,5029.0,4.494,2.0
Kepler-251 c,973.5,4.1575,655.0,43.57,2.72,5527.0,4.488,2.0
Kepler-251 d,1015.8,5.172,536.0,19.55,3.14,5527.0,4.488,2.0
Kepler-251 b,251.3,2.603,990.0,227.24,1.36,5527.0,4.488,2.0
Kepler-110 c,363.4,4.819,743.0,71.97,3.09,5869.0,4.024,2.0
Kepler-251 e,952.5,4.448,360.0,3.97,2.64,5527.0,4.488,2.0
Kepler-720 b,7912.7,3.16114,1162.0,431.02,10.6,5560.0,4.246,2.0
Kepler-721 b,1151.4,2.9804,850.0,123.33,2.68,5198.0,4.589,2.0
Kepler-730 b,7163.3,4.301,1062.0,301.54,9.66,6123.0,4.413,2.0
Kepler-731 b,16653.0,3.2179,1212.0,508.65,13.61,6033.0,4.46,2.0
Kepler-468 b,23530.0,5.04169,484.0,13.01,13.26,5510.0,4.539,2.0
Kepler-724 b,1398.2,1.8007,1155.0,421.03,3.94,5609.0,4.481,2.0
Kepler-725 b,15664.0,6.5292,472.0,11.74,10.98,5231.0,4.455,2.0
Kepler-726 b,1144.9,3.4097,543.0,20.48,2.6,5481.0,4.629,2.0
Kepler-253 c,1110.7,3.4366,680.0,50.6,2.53,5196.0,4.593,2.0
Kepler-253 d,1506.9,4.2309,563.0,23.77,2.95,5196.0,4.593,2.0
Kepler-253 b,426.1,1.9012,949.0,191.78,1.7,5196.0,4.593,2.0
Kepler-727 b,697.5,3.228,964.0,204.1,2.94,5431.0,4.457,2.0
Kepler-469 b,13494.0,11.4813,745.0,72.71,20.7,5855.0,3.999,0.0
Kepler-728 b,1240.2,3.4412,982.0,219.95,3.13,5897.0,4.531,2.0
Kepler-729 b,1473.4,3.3129,1273.0,621.92,3.82,6007.0,4.47,2.0
Kepler-256 c,280.1,2.6849,1315.0,705.93,2.11,5553.0,4.221,2.0
Kepler-256 d,273.6,3.1915,1097.0,341.48,2.06,5553.0,4.221,2.0
Kepler-256 b,159.6,2.1888,1681.0,1893.42,1.57,5553.0,4.221,2.0
Kepler-256 e,307.8,3.605,897.0,152.75,2.3,5553.0,4.221,2.0
Kepler-734 b,2090.3,4.6912,784.0,89.25,3.18,5085.0,4.584,2.0
Kepler-77 b,11382.0,2.91089,1145.0,406.6,10.43,5524.0,4.421,2.0
Kepler-254 b,1539.1,2.9183,1013.0,248.57,4.09,5561.0,4.362,2.0
Kepler-254 c,611.3,3.739,787.0,90.65,2.58,5561.0,4.362,2.0
Kepler-254 d,796.8,3.895,686.0,52.38,3.05,5561.0,4.362,2.0
Kepler-31 b,1910.5,5.1937,781.0,87.76,5.5,6035.0,4.22,2.0
Kepler-31 c,1719.3,6.1998,615.0,33.82,5.22,6035.0,4.22,2.0
Kepler-31 d,1009.6,8.871,484.0,12.94,4.0,6035.0,4.22,2.0
Kepler-732 b,2237.0,2.4327,407.0,6.47,2.13,3582.0,4.807,2.0
Kepler-732 c,741.7,1.0981,893.0,151.14,1.24,3582.0,4.807,2.0
Kepler-15 b,11145.0,3.25346,1008.0,244.42,10.62,5514.0,4.459,2.0
Kepler-733 b,988.4,4.0454,595.0,29.62,2.74,5537.0,4.549,2.0
Kepler-255 c,994.5,3.3862,807.0,100.34,3.12,5344.0,4.365,2.0
Kepler-255 d,213.0,1.8955,1710.0,2031.84,1.45,5344.0,4.365,2.0
Kepler-255 b,297.8,2.336,971.0,210.16,1.78,5344.0,4.365,2.0
Kepler-24 b,446.8,5.073,1050.0,287.91,3.43,5896.0,4.197,2.0
Kepler-24 e,430.7,4.529,792.0,93.03,43.17,5896.0,4.197,2.0
Kepler-24 d,174.0,3.282,1305.0,686.99,2.07,5896.0,4.197,2.0
Kepler-112 c,824.9,4.9427,538.0,19.83,2.32,5551.0,4.508,2.0
Kepler-1739 b,574.4,1.1784,839.0,117.5,1.84,5757.0,4.597,2.0
Kepler-111 c,3487.5,11.1899,333.0,2.92,7.67,5873.0,4.293,2.0
Kepler-769 b,443.3,3.6379,1037.0,273.78,2.47,6049.0,4.353,2.0
Kepler-769 c,178.5,4.158,803.0,98.51,1.62,6049.0,4.353,2.0
Kepler-770 b,640.9,3.9835,1171.0,443.58,13.92,4941.0,3.317,2.0
Kepler-784 b,145.1,13.566,688.0,53.09,1.78,5676.0,4.1,2.0
Kepler-784 c,110.4,11.284,844.0,119.87,1.55,5676.0,4.1,2.0
Kepler-785 b,30222.0,1.82542,753.0,76.1,8.78,3807.0,4.762,2.0
Kepler-21 b,68.9,3.5599,1784.0,2388.98,1.69,6202.0,4.026,2.0
Kepler-755 b,340.9,1.4647,1331.0,740.47,1.41,5041.0,4.576,2.0
Kepler-755 c,277.1,1.465,1016.0,251.77,1.36,5041.0,4.576,2.0
Kepler-1734 b,393.1,3.1702,985.0,222.91,2.01,6061.0,4.486,2.0
Kepler-770 c,154.9,2.3155,2740.0,13331.51,5.88,4941.0,3.317,2.0
Kepler-770 d,223.4,2.5755,1941.0,3354.56,7.62,4941.0,3.317,2.0
Kepler-771 b,270.7,4.49,890.0,148.62,1.59,5982.0,4.493,2.0
Kepler-265 c,568.9,4.645,755.0,76.66,2.54,5839.0,4.327,2.0
Kepler-265 b,246.8,3.529,1022.0,258.41,1.67,5839.0,4.327,2.0
Kepler-265 e,507.8,7.358,476.0,12.14,2.39,5839.0,4.327,2.0
Kepler-265 d,447.8,3.198,554.0,22.21,2.39,5839.0,4.327,2.0
Kepler-756 b,196.0,1.7086,1741.0,2174.33,1.54,5553.0,4.32,2.0
Kepler-1736 b,570.3,8.733,566.0,24.27,2.33,6085.0,4.451,2.0
Kepler-268 b,414.5,4.6142,695.0,55.1,2.48,5952.0,4.287,2.0
Kepler-268 c,503.0,6.536,471.0,11.59,2.73,5952.0,4.287,2.0
Kepler-772 b,270.6,6.0175,866.0,132.94,2.03,5765.0,4.236,2.0
Kepler-79 d,2894.1,8.6388,592.0,29.07,7.14,6198.0,4.237,2.0
Kepler-1973 b,790.1,1.5693,942.0,186.31,2.29,5296.0,4.576,2.0
Kepler-260 b,517.6,3.0472,782.0,88.36,1.92,5251.0,4.494,2.0
Kepler-260 c,445.9,7.158,372.0,4.53,1.75,5251.0,4.494,2.0
Kepler-111 b,178.2,2.9254,1356.0,798.41,1.67,5873.0,4.293,2.0
Kepler-773 b,182.6,1.9826,1160.0,428.25,1.68,5751.0,4.447,2.0
Kepler-774 b,148.1,6.2877,1422.0,965.62,3.51,6353.0,3.698,2.0
Kepler-415 c,1419.6,2.4904,543.0,20.59,2.01,4362.0,4.722,2.0
Kepler-415 b,531.5,2.335,694.0,54.8,1.23,4362.0,4.722,2.0
Kepler-79 c,747.5,6.8491,734.0,68.46,3.63,6198.0,4.237,2.0
Kepler-743 b,200.9,1.0246,1101.0,347.01,1.21,5511.0,4.554,2.0
Kepler-261 b,801.5,2.715,672.0,48.37,2.18,5095.0,4.566,2.0
Kepler-261 c,764.2,3.587,505.0,15.33,2.82,5095.0,4.566,2.0
Kepler-43 b,7765.0,2.8021,1489.0,1162.54,12.14,6063.0,4.261,2.0
Kepler-757 b,129.2,1.3712,1734.0,2138.47,1.14,5366.0,4.363,2.0
Kepler-758 b,284.7,6.3461,1005.0,240.8,2.98,6021.0,4.093,2.0
Kepler-758 c,124.5,4.66,1372.0,835.65,1.7,6021.0,4.093,2.0
Kepler-758 d,242.9,8.536,843.0,119.42,2.96,6021.0,4.093,2.0
Kepler-786 b,1086.1,5.668,348.0,3.48,2.28,4736.0,4.624,2.0
Kepler-1741 b,563.1,0.9267,615.0,33.79,1.01,3683.0,4.84,2.0
Kepler-787 b,376.2,1.1899,1115.0,365.72,1.16,4109.0,4.672,2.0
Kepler-79 b,653.5,5.0197,929.0,176.29,3.39,6198.0,4.237,2.0
Kepler-276 c,910.0,6.122,563.0,23.82,3.7,5779.0,4.477,2.0
Kepler-744 b,300.2,2.0584,750.0,74.8,1.62,5547.0,4.451,2.0
Kepler-745 b,398.6,5.678,931.0,177.83,2.41,5782.0,4.28,2.0
Kepler-262 c,355.6,3.439,618.0,34.57,1.75,5830.0,4.54,2.0
Kepler-758 e,115.4,5.234,1144.0,405.75,1.74,6021.0,4.093,2.0
Kepler-759 b,434.4,6.057,533.0,19.02,2.02,5907.0,4.445,2.0
Kepler-48 b,473.0,2.7361,932.0,177.79,1.85,5192.0,4.489,2.0
Kepler-269 b,611.4,3.4045,1007.0,242.97,2.26,5831.0,4.517,2.0
Kepler-1740 b,864.3,3.902,858.0,127.95,3.29,5705.0,4.499,2.0
Kepler-262 b,236.6,3.215,734.0,68.66,1.45,5830.0,4.54,2.0
Kepler-760 b,1074.9,2.9385,748.0,74.13,2.86,5074.0,4.474,2.0
Kepler-269 c,224.1,3.727,875.0,138.51,1.39,5831.0,4.517,2.0
Kepler-775 b,197.6,1.6191,1612.0,1605.87,1.16,5487.0,4.563,2.0
Kepler-776 b,274.4,1.812,904.0,157.93,1.48,5093.0,4.483,2.0
Kepler-275 c,597.8,5.731,875.0,138.64,3.42,6157.0,4.224,2.0
Kepler-275 b,271.8,4.885,1015.0,251.55,2.2,6157.0,4.224,2.0
Kepler-275 d,471.2,7.381,671.0,47.96,3.02,6157.0,4.224,2.0
Kepler-263 b,1331.4,4.2647,548.0,21.27,2.54,4987.0,4.602,2.0
Kepler-263 c,931.5,2.708,386.0,5.25,2.18,4987.0,4.602,2.0
Kepler-264 b,313.9,13.135,772.0,83.75,3.71,6207.0,3.963,2.0
Kepler-760 c,308.7,1.6345,1139.0,398.42,1.56,5074.0,4.474,2.0
Kepler-266 b,549.1,3.6813,1066.0,304.65,2.98,5529.0,4.19,2.0
Kepler-266 c,1396.2,8.042,421.0,7.39,4.75,5529.0,4.19,2.0
Kepler-48 c,952.7,3.2641,736.0,69.42,2.63,5192.0,4.489,2.0
Kepler-276 b,628.7,3.685,739.0,70.5,2.73,5779.0,4.477,2.0
Kepler-276 d,641.8,5.464,489.0,13.57,4.14,5779.0,4.477,2.0
Kepler-788 b,340.1,6.344,984.0,221.66,2.0,6309.0,4.441,2.0
Kepler-789 b,395.9,5.4566,1419.0,958.35,5.99,5684.0,3.657,2.0
Kepler-264 c,266.8,18.503,511.0,16.17,3.42,6207.0,3.963,2.0
Kepler-746 b,135.2,1.8069,1156.0,421.61,1.17,5405.0,4.374,2.0
Kepler-747 b,4634.9,8.4559,456.0,10.19,5.17,5123.0,4.523,2.0
Kepler-761 b,477.4,3.517,767.0,81.77,1.95,5676.0,4.548,2.0
Kepler-762 b,12440.0,3.8077,1302.0,679.75,12.05,6322.0,4.426,2.0
Kepler-777 b,643.4,2.0295,569.0,24.74,1.38,3968.0,4.714,2.0
Kepler-778 b,417.4,2.2911,977.0,215.46,1.58,5311.0,4.588,2.0
Kepler-257 c,2318.9,3.0896,881.0,142.63,4.56,5188.0,4.4,2.0
